ft,bt,km,transmission,ownerNo,oem,model,modelYear,price,Mileage,Seating Capacity,City
Petrol,Hatchback,44154,Automatic,2,Honda,Honda Jazz,2016,537000.0,19.0,5.0,Bangalore
Diesel,MUV,70000,Manual,1,Renault,Renault Lodgy,2016,750000.0,19.98,7.0,Bangalore
Petrol,Sedan,79000,Automatic,1,Skoda,Skoda Octavia,2018,1789999.9999999998,15.1,5.0,Bangalore
Petrol,Hatchback,68039,Manual,2,Tata,Tata Tiago,2017,468000.0,23.84,5.0,Bangalore
Petrol,Hatchback,60000,Manual,2,Maruti,Maruti Ritz,2014,420000.0,18.5,5.0,Bangalore
Petrol,Hatchback,60000,Manual,2,Maruti,Maruti Ritz,2014,420000.0,18.5,5.0,Bangalore
Petrol,Hatchback,10000,Manual,1,Hyundai,Hyundai i20,2021,919999.9999999999,20.0,5.0,Bangalore
Petrol,Sedan,49873,Manual,1,Honda,Honda City,2013,533000.0,16.8,5.0,Bangalore
Petrol,Hatchback,90000,Automatic,3,Volkswagen,Volkswagen Polo,2013,850000.0,17.2,5.0,Bangalore
Diesel,Sedan,48960,Manual,2,Skoda,Skoda Rapid,2017,751000.0,21.13,5.0,Bangalore
Diesel,Hatchback,70000,Manual,2,Hyundai,Hyundai Grand i10,2014,388000.0,24.0,5.0,Bangalore
Petrol,Hatchback,68000,Manual,2,Hyundai,Hyundai i20,2013,490000.00000000006,18.5,5.0,Bangalore
Diesel,SUV,23017,Manual,1,Mahindra,Mahindra KUV 100,2016,494000.00000000006,25.32,6.0,Bangalore
Diesel,Hatchback,83000,Manual,2,Hyundai,Hyundai i20,2013,525000.0,21.27,5.0,Bangalore
Diesel,SUV,92000,Automatic,2,BMW,BMW X3,2016,2890000.0,16.55,5.0,Bangalore
Petrol,Hatchback,62139,Manual,1,Maruti,Maruti Wagon R,2018,550000.0,20.51,5.0,Bangalore
Lpg,Hatchback,74000,Manual,1,Hyundai,Hyundai i10,2013,365000.0,19.2,5.0,Bangalore
Petrol,Hatchback,26500,Automatic,2,Renault,Renault KWID,2016,420000.0,24.04,5.0,Bangalore
Diesel,Sedan,81716,Automatic,1,Volvo,Volvo S60,2017,1895000.0,27.03,5.0,Bangalore
Diesel,Sedan,24000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,5990000.0,17.0,5.0,Bangalore
Petrol,SUV,10000,Automatic,1,Mahindra,Mahindra XUV300,2022,1050000.0,17.0,5.0,Bangalore
Petrol,SUV,18000,Automatic,1,MG,MG Hector Plus,2021,2075000.0,16.56,6.0,Bangalore
Petrol,Hatchback,38197,Manual,1,Honda,Honda Brio,2013,394000.0,19.4,5.0,Bangalore
Petrol,Hatchback,23000,Automatic,2,Maruti,Maruti Baleno,2017,725000.0,19.56,5.0,Bangalore
Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Alto K10,2013,240000.0,20.92,5.0,Bangalore
Petrol,SUV,10000,Automatic,1,Renault,Renault Kiger,2022,835000.0,19.03,5.0,Bangalore
Petrol,Hatchback,19000,Manual,1,Hyundai,Hyundai Grand i10,2019,695000.0,18.9,5.0,Bangalore
Petrol,SUV,14000,Automatic,1,Kia,Kia Seltos,2020,1725000.0,16.5,5.0,Bangalore
Petrol,Hatchback,29268,Manual,1,Hyundai,Hyundai EON,2014,330000.0,21.1,5.0,Bangalore
Petrol,Sedan,20000,Automatic,1,Volkswagen,Volkswagen Vento,2019,990000.0,18.19,5.0,Bangalore
Petrol,Sedan,30000,Manual,1,Toyota,Toyota Yaris,2018,750000.0,17.1,5.0,Bangalore
Petrol,Hatchback,64374,Automatic,1,Honda,Honda Jazz,2018,755000.0,19.0,5.0,Bangalore
Diesel,SUV,30000,Manual,1,MG,MG Hector,2021,1750000.0,17.41,5.0,Bangalore
Petrol,SUV,7100,Automatic,1,Hyundai,Hyundai Alcazar,2022,2082999.9999999998,14.2,6.0,Bangalore
Petrol,Hatchback,43679,Manual,1,Hyundai,Hyundai i10,2010,271000.0,19.81,5.0,Bangalore
Petrol,SUV,40000,Automatic,1,Hyundai,Hyundai Creta,2018,1280000.0,14.8,5.0,Bangalore
Diesel,Hatchback,40562,Manual,1,Hyundai,Hyundai i20,2012,436000.00000000006,22.54,5.0,Bangalore
Petrol,SUV,26500,Automatic,2,Hyundai,Hyundai Creta,2021,1675000.0,18.9,5.0,Bangalore
Petrol,SUV,20000,Automatic,1,Hyundai,Hyundai Venue,2019,1250000.0,18.15,5.0,Bangalore
Diesel,SUV,58600,Automatic,1,Mahindra,Mahindra XUV500,2016,1350000.0,16.0,7.0,Bangalore
Petrol,SUV,20000,Automatic,1,Hyundai,Hyundai Venue,2019,1250000.0,18.15,5.0,Bangalore
Petrol,SUV,42050,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,2225000.0,18.4,5.0,Bangalore
Petrol,Hatchback,65017,Automatic,1,Maruti,Maruti Celerio,2015,475000.0,23.1,5.0,Bangalore
Diesel,Sedan,80000,Automatic,2,BMW,BMW 3 Series,2008,600000.0,13.2,5.0,Bangalore
Petrol,SUV,30000,Automatic,1,Jeep,Jeep Compass,2021,2450000.0,14.1,5.0,Bangalore
Petrol,SUV,20000,Automatic,1,Kia,Kia Seltos,2020,1625000.0,16.5,5.0,Bangalore
Diesel,Sedan,36349,Automatic,1,Skoda,Skoda Superb,2014,1650000.0,17.2,5.0,Bangalore
Petrol,Hatchback,80000,Manual,3,Hyundai,Hyundai i10,2009,249000.00000000003,20.36,5.0,Bangalore
Petrol,SUV,83394,Manual,2,Renault,Renault Duster,2014,630000.0,13.24,5.0,Bangalore
Diesel,SUV,30000,Automatic,2,Audi,Audi Q5,2016,2599000.0,14.16,5.0,Bangalore
Petrol,Hatchback,80000,Manual,3,Hyundai,Hyundai i10,2009,249000.00000000003,20.36,5.0,Bangalore
Petrol,Hatchback,52204,Manual,1,Maruti,Maruti Alto K10,2017,385000.0,24.39,5.0,Bangalore
Petrol,Hatchback,110000,Manual,3,Hyundai,Hyundai i20,2012,300000.0,17.0,5.0,Bangalore
Diesel,SUV,89000,Automatic,1,Ford,Ford Endeavour,2017,2975000.0,10.91,7.0,Bangalore
Petrol,Hatchback,29813,Manual,2,Maruti,Maruti Alto 800,2014,276000.0,22.05,5.0,Bangalore
Petrol,Hatchback,30000,Manual,1,Ford,Ford Figo,2018,500000.0,18.16,5.0,Bangalore
Petrol,Hatchback,13345,Automatic,1,Maruti,Maruti Ignis,2020,730000.0,20.89,5.0,Bangalore
Diesel,SUV,17100,Automatic,1,Hyundai,Hyundai Alcazar,2022,2245000.0,18.1,7.0,Bangalore
Petrol,Hatchback,75000,Manual,1,Hyundai,Hyundai Grand i10,2014,399000.0,18.9,5.0,Bangalore
Petrol,Hatchback,75523,Manual,2,Hyundai,Hyundai i10,2011,312000.0,20.36,5.0,Bangalore
Diesel,SUV,47000,Manual,1,Mahindra,Mahindra XUV500,2015,1275000.0,16.0,7.0,Bangalore
Diesel,SUV,36500,Manual,1,Tata,Tata Harrier,2022,1989999.9999999998,16.35,5.0,Bangalore
Petrol,MUV,28253,Manual,1,Renault,Renault Triber,2020,719000.0,20.0,7.0,Bangalore
Diesel,SUV,50000,Manual,1,Hyundai,Hyundai Creta,2016,1260000.0,19.67,5.0,Bangalore
Petrol,Hatchback,90000,Manual,2,Hyundai,Hyundai i10,2010,300000.0,20.36,5.0,Bangalore
Diesel,SUV,70000,Automatic,2,BMW,BMW X5,2016,3981000.0,15.97,5.0,Bangalore
Petrol,Hatchback,52571,Manual,1,Hyundai,Hyundai i20,2016,627000.0,18.6,5.0,Bangalore
Diesel,Sedan,70000,Automatic,2,BMW,BMW 3 Series,2010,1300000.0,16.07,5.0,Bangalore
Petrol,Sedan,61993,Manual,1,Honda,Honda City,2015,672000.0,17.4,5.0,Bangalore
Diesel,SUV,57000,Automatic,1,Hyundai,Hyundai Tucson,2017,1825000.0,16.38,5.0,Bangalore
Diesel,SUV,80000,Manual,2,Toyota,Toyota Fortuner,2021,3500000.0,14.24,7.0,Bangalore
Petrol,Hatchback,36359,Manual,1,Hyundai,Hyundai i20,2013,440000.00000000006,18.5,5.0,Bangalore
Diesel,SUV,70000,Manual,2,Tata,Tata Harrier,2019,1460000.0,17.0,5.0,Bangalore
Petrol,SUV,7500,Automatic,1,MG,MG Hector,2022,2041000.0,18.9,5.0,Bangalore
Petrol,Sedan,30301,Automatic,1,Hyundai,Hyundai Verna,2017,1033000.0,17.0,5.0,Bangalore
Petrol,Hatchback,66000,Manual,1,Hyundai,Hyundai i10,2010,275000.0,20.36,5.0,Bangalore
Petrol,Hatchback,56010,Manual,1,Hyundai,Hyundai i20,2017,676000.0,18.6,5.0,Bangalore
Diesel,SUV,47000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2017,4290000.0,17.9,5.0,Bangalore
Diesel,SUV,60000,Manual,2,Nissan,Nissan Terrano,2014,650000.0,19.01,5.0,Bangalore
Diesel,Hatchback,83829,Manual,1,Maruti,Maruti Swift,2014,444000.00000000006,25.2,5.0,Bangalore
Petrol,Hatchback,10000,Automatic,1,Renault,Renault KWID,2020,509999.99999999994,22.0,5.0,Bangalore
Diesel,SUV,35000,Automatic,2,Renault,Renault Duster,2016,925000.0,19.6,5.0,Bangalore
Petrol,Sedan,51116,Automatic,2,Honda,Honda City,2019,1024000.0,18.0,5.0,Bangalore
Diesel,Sedan,80000,Manual,3,Skoda,Skoda Rapid,2016,500000.0,21.14,5.0,Bangalore
Petrol,Hatchback,40000,Automatic,2,Volkswagen,Volkswagen Polo,2017,994999.9999999999,17.21,5.0,Bangalore
Petrol,SUV,85565,Automatic,2,Honda,Honda CR-V,2012,935000.0,11.1,5.0,Bangalore
Petrol,SUV,36916,Manual,1,Ford,Ford Ecosport,2018,834000.0,17.0,5.0,Bangalore
Diesel,Hatchback,90000,Manual,1,Volkswagen,Volkswagen Polo,2015,560000.0,20.14,5.0,Bangalore
Petrol,Hatchback,112795,Manual,1,Maruti,Maruti Swift,2012,454000.0,22.38,5.0,Bangalore
Petrol,Sedan,11000,Automatic,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,3690000.0,18.9,5.0,Bangalore
Petrol,MUV,120000,Manual,2,Toyota,Toyota Innova,2014,1100000.0,11.4,7.0,Bangalore
Petrol,Hatchback,36685,Manual,2,Honda,Honda Brio,2016,462000.0,19.4,5.0,Bangalore
