ft,bt,km,transmission,ownerNo,oem,model,modelYear,price,Mileage,Seating Capacity,City
Cng,Hatchback,50000,Manual,1,Maruti,Maruti Celerio,2022,630000.0,35.6,5.0,Hyderabad
Petrol,MUV,90000,Manual,2,Honda,Honda Mobilio,2015,550000.0,17.3,7.0,Hyderabad
Diesel,MUV,136083,Manual,1,Honda,Honda Mobilio,2014,520000.0,24.2,7.0,Hyderabad
Petrol,Sedan,90000,Manual,2,Honda,Honda City,2007,250000.0,17.7,5.0,Hyderabad
Diesel,SUV,100000,Manual,1,Maruti,Maruti Vitara Brezza,2019,1000000.0,24.3,5.0,Hyderabad
Petrol,Hatchback,39817,Manual,2,Maruti,Maruti Ignis,2018,496000.0,20.89,5.0,Hyderabad
Diesel,Sedan,54063,Manual,1,Maruti,Maruti Ciaz,2017,788000.0,28.09,5.0,Hyderabad
Petrol,Hatchback,37000,Manual,1,Hyundai,Hyundai i20 N Line,2021,994999.9999999999,20.0,5.0,Hyderabad
Petrol,Hatchback,67372,Manual,1,Hyundai,Hyundai Grand i10,2013,416000.0,18.9,5.0,Hyderabad
Petrol,Hatchback,76685,Manual,1,Maruti,Maruti Alto 800,2019,344000.0,24.7,5.0,Hyderabad
Diesel,Hatchback,115595,Manual,1,Maruti,Maruti Swift,2014,450000.0,22.9,5.0,Hyderabad
Petrol,Hatchback,89956,Manual,2,Volkswagen,Volkswagen Polo,2019,523000.00000000006,17.74,5.0,Hyderabad
Diesel,Sedan,120000,Manual,2,Maruti,Maruti Swift Dzire,2011,340000.0,19.3,5.0,Hyderabad
Petrol,Hatchback,87189,Manual,1,Hyundai,Hyundai Grand i10,2019,520000.0,18.9,5.0,Hyderabad
Petrol,Hatchback,42662,Manual,1,Maruti,Maruti Swift,2019,628000.0,22.38,5.0,Hyderabad
Diesel,Hatchback,69000,Manual,1,Maruti,Maruti Swift,2014,525000.0,25.2,5.0,Hyderabad
Petrol,Hatchback,63002,Automatic,1,Hyundai,Hyundai Santro,2019,513999.99999999994,20.3,5.0,Hyderabad
Diesel,Sedan,120000,Automatic,1,Volkswagen,Volkswagen Passat,2018,1700000.0,17.42,5.0,Hyderabad
Petrol,Sedan,108000,Manual,1,Hyundai,Hyundai Verna,2008,290000.0,13.9,5.0,Hyderabad
Diesel,MUV,110000,Manual,2,Mahindra,Mahindra Marazzo,2020,950000.0,17.3,7.0,Hyderabad
Petrol,Sedan,40022,Manual,2,Hyundai,Hyundai Verna,2018,900000.0,17.0,5.0,Hyderabad
Diesel,Hatchback,81000,Manual,1,Maruti,Maruti Baleno,2019,750000.0,27.39,5.0,Hyderabad
Diesel,Sedan,70000,Manual,1,Tata,Tata Manza,2011,300000.0,21.12,5.0,Hyderabad
Diesel,SUV,46000,Manual,1,Mahindra,Mahindra TUV 300,2019,980000.0000000001,18.49,7.0,Hyderabad
Petrol,Hatchback,45911,Automatic,1,Maruti,Maruti Swift,2018,675000.0,22.56,5.0,Hyderabad
Petrol,Sedan,87335,Manual,1,Honda,Honda City,2016,616000.0,17.8,5.0,Hyderabad
Petrol,SUV,15600,Manual,3,Maruti,Maruti Gypsy,2004,550000.0,11.96,8.0,Hyderabad
Petrol,SUV,41108,Manual,2,Ford,Ford Ecosport,2018,814000.0,17.0,5.0,Hyderabad
Petrol,Hatchback,35545,Manual,1,Maruti,Maruti Baleno,2019,750000.0,21.4,5.0,Hyderabad
Diesel,Sedan,120000,Manual,1,Hyundai,Hyundai Xcent,2017,450000.0,24.4,5.0,Hyderabad
Petrol,Hatchback,54631,Manual,1,Hyundai,Hyundai Grand i10,2016,498000.00000000006,18.9,5.0,Hyderabad
Diesel,Sedan,107000,Manual,1,Maruti,Maruti Ciaz,2015,650000.0,26.21,5.0,Hyderabad
Petrol,Hatchback,38471,Manual,2,Hyundai,Hyundai Grand i10,2019,527000.0,18.9,5.0,Hyderabad
Petrol,Hatchback,72393,Manual,2,Maruti,Maruti Wagon R,2015,329000.0,20.51,5.0,Hyderabad
Petrol,Hatchback,58000,Manual,1,Ford,Ford Figo,2015,350000.0,15.6,5.0,Hyderabad
Petrol,Hatchback,20266,Manual,1,Hyundai,Hyundai Santro,2018,541000.0,20.3,5.0,Hyderabad
Diesel,Hatchback,120000,Manual,3,Hyundai,Hyundai i20,2012,340000.0,21.9,5.0,Hyderabad
Petrol,Hatchback,90000,Manual,2,Hyundai,Hyundai Santro Xing,2008,185000.0,17.92,5.0,Hyderabad
Diesel,SUV,84910,Manual,1,Hyundai,Hyundai Creta,2017,1125000.0,19.67,5.0,Hyderabad
Petrol,Sedan,70000,Manual,1,Honda,Honda City,2020,1000000.0,17.4,5.0,Hyderabad
Diesel,Hatchback,120000,Manual,2,Mahindra,Mahindra KUV 100 NXT,2018,450000.0,25.32,5.0,Hyderabad
Diesel,Sedan,120000,Manual,2,Hyundai,Hyundai Xcent,2016,445000.0,24.4,5.0,Hyderabad
Diesel,SUV,109000,Manual,1,Hyundai,Hyundai Creta,2018,1195000.0,19.67,5.0,Hyderabad
Petrol,Hatchback,44000,Manual,1,Maruti,Maruti Celerio,2016,440000.00000000006,23.1,5.0,Hyderabad
Petrol,Hatchback,44363,Manual,1,Maruti,Maruti Celerio X,2019,503000.0,21.63,5.0,Hyderabad
Petrol,Sedan,39461,Automatic,1,Maruti,Maruti Swift Dzire,2018,702000.0,21.21,5.0,Hyderabad
Diesel,Sedan,120000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2012,1175000.0,10.0,5.0,Hyderabad
Petrol,Hatchback,59126,Manual,1,Maruti,Maruti Baleno,2018,690000.0,21.4,5.0,Hyderabad
Petrol,Hatchback,65331,Manual,1,Hyundai,Hyundai Grand i10,2018,520000.0,18.9,5.0,Hyderabad
Petrol,Hatchback,45000,Manual,1,Maruti,Maruti Baleno,2017,699000.0,21.1,5.0,Hyderabad
Petrol,Hatchback,41378,Manual,2,Maruti,Maruti Swift,2013,436000.00000000006,22.38,5.0,Hyderabad
Diesel,Sedan,120000,Manual,1,Tata,Tata Manza,2013,250000.0,21.02,5.0,Hyderabad
Petrol,Sedan,124781,Manual,1,Honda,Honda City,2014,501999.99999999994,17.4,5.0,Hyderabad
Petrol,Hatchback,63313,Manual,1,Maruti,Maruti Swift,2016,509999.99999999994,22.38,5.0,Hyderabad
Diesel,Hatchback,62535,Manual,1,Maruti,Maruti Baleno,2016,660000.0,27.39,5.0,Hyderabad
Petrol,Hatchback,89581,Manual,1,Maruti,Maruti Baleno,2017,599000.0,21.4,5.0,Hyderabad
Diesel,Sedan,120000,Manual,2,Ford,Ford Fiesta Classic,2011,250000.0,19.68,5.0,Hyderabad
Diesel,Sedan,78866,Automatic,1,Jaguar,Jaguar XE,2017,3400000.0,13.6,5.0,Hyderabad
Diesel,Sedan,120000,Automatic,2,Volkswagen,Volkswagen Jetta,2014,750000.0,16.96,5.0,Hyderabad
Diesel,SUV,58000,Manual,1,Mahindra,Mahindra XUV500,2018,1595000.0,15.1,7.0,Hyderabad
Petrol,Hatchback,90000,Manual,1,Maruti,Maruti Wagon R,2012,310000.0,21.79,5.0,Hyderabad
Petrol,Hatchback,59000,Manual,1,Maruti,Maruti Baleno,2017,675000.0,21.1,5.0,Hyderabad
Diesel,Sedan,66000,Automatic,1,Jaguar,Jaguar XJ,2013,3500000.0,10.5,4.0,Hyderabad
Diesel,SUV,100000,Automatic,3,Mercedes-Benz,Mercedes-Benz M-Class,2011,1200000.0,18.9,5.0,Hyderabad
Petrol,Hatchback,99003,Manual,1,Maruti,Maruti S-Presso,2019,392000.0,21.7,5.0,Hyderabad
Petrol,Hatchback,76003,Manual,1,Maruti,Maruti S-Presso,2019,401000.0,21.7,5.0,Hyderabad
Diesel,SUV,70000,Automatic,1,Audi,Audi Q5,2017,4200000.0,14.16,5.0,Hyderabad
Petrol,Hatchback,101863,Manual,3,Maruti,Maruti Baleno,2017,581000.0,21.4,5.0,Hyderabad
Diesel,Sedan,107344,Automatic,1,Volkswagen,Volkswagen Vento,2018,909000.0,22.15,5.0,Hyderabad
Diesel,SUV,100000,Automatic,3,Mercedes-Benz,Mercedes-Benz M-Class,2011,2400000.0,18.9,5.0,Hyderabad
Petrol,Hatchback,56129,Manual,1,Hyundai,Hyundai Grand i10,2018,543000.0,18.9,5.0,Hyderabad
Diesel,MUV,70599,Manual,1,Maruti,Maruti Ertiga,2019,1100000.0,24.52,7.0,Hyderabad
Diesel,Sedan,97208,Automatic,1,Honda,Honda Amaze,2018,743000.0,23.8,5.0,Hyderabad
Petrol,Sedan,53509,Manual,2,Skoda,Skoda Rapid,2020,997000.0000000001,18.97,5.0,Hyderabad
Diesel,SUV,52000,Manual,1,Jeep,Jeep Compass,2017,1599000.0,17.1,5.0,Hyderabad
Petrol,Hatchback,97621,Manual,1,Hyundai,Hyundai i20,2021,811000.0,21.0,5.0,Hyderabad
Petrol,Hatchback,113000,Manual,1,Hyundai,Hyundai i10,2009,250000.0,19.81,5.0,Hyderabad
Diesel,MUV,152000,Manual,1,Toyota,Toyota Innova,2008,650000.0,12.8,8.0,Hyderabad
Diesel,SUV,78000,Manual,1,Maruti,Maruti SX4 S Cross,2018,975000.0,25.1,5.0,Hyderabad
Diesel,Sedan,93000,Automatic,1,Audi,Audi A4,2011,1199000.0,16.55,5.0,Hyderabad
Petrol,Sedan,48000,Manual,1,Mercedes-Benz,Mercedes-Benz S-Class,2001,999000.0,13.0,5.0,Hyderabad
Diesel,MUV,55000,Manual,1,Chevrolet,Chevrolet Enjoy,2013,525000.0,18.2,7.0,Hyderabad
Diesel,Sedan,131852,Manual,1,Maruti,Maruti Swift Dzire,2012,420000.0,19.3,5.0,Hyderabad
Petrol,Hatchback,20000,Manual,1,Maruti,Maruti Swift,2021,600000.0,21.21,5.0,Hyderabad
Diesel,SUV,44416,Manual,1,Renault,Renault Duster,2019,996000.0000000001,19.6,5.0,Hyderabad
Petrol,Hatchback,69408,Manual,3,Honda,Honda Brio,2012,311000.0,19.4,5.0,Hyderabad
Petrol,SUV,10000,Manual,1,Volkswagen,Volkswagen Taigun,2022,1700000.0,20.08,5.0,Hyderabad
Petrol,Hatchback,78911,Manual,2,Maruti,Maruti Baleno,2016,572000.0,21.4,5.0,Hyderabad
Petrol,Hatchback,85298,Manual,1,Datsun,Datsun GO,2017,307000.0,19.02,5.0,Hyderabad
Petrol,Sedan,60529,Manual,1,Honda,Honda City,2014,454000.0,17.4,5.0,Hyderabad
Diesel,Sedan,115276,Manual,2,Skoda,Skoda Rapid,2017,775000.0,21.13,5.0,Hyderabad
Diesel,SUV,60000,Automatic,1,Maruti,Maruti Vitara Brezza,2019,850000.0,24.3,5.0,Hyderabad
Petrol,SUV,30241,Manual,1,Renault,Renault Duster,2020,907000.0,16.42,5.0,Hyderabad
Petrol,Hatchback,24197,Manual,1,Hyundai,Hyundai Santro,2019,509000.0,20.3,5.0,Hyderabad
Petrol,SUV,20000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,4800000.0,18.9,5.0,Hyderabad
Petrol,Hatchback,44981,Manual,1,Hyundai,Hyundai i20 N Line,2021,940000.0,20.0,5.0,Hyderabad
Diesel,Hatchback,85497,Manual,2,Nissan,Nissan Micra,2011,227000.0,23.08,5.0,Hyderabad
Petrol,SUV,20000,Automatic,1,Audi,Audi Q5,2022,6200000.0,13.47,5.0,Hyderabad
Petrol,Hatchback,30000,Manual,1,Maruti,Maruti Baleno,2019,650000.0,21.4,5.0,Hyderabad
Diesel,Hatchback,80000,Manual,1,Maruti,Maruti Swift,2017,580000.0,28.4,5.0,Hyderabad
Petrol,Hatchback,41000,Automatic,1,Honda,Honda Brio,2017,595000.0,16.5,5.0,Hyderabad
Diesel,SUV,73000,Automatic,1,Hyundai,Hyundai Creta,2017,1100000.0,17.01,5.0,Hyderabad
Petrol,Sedan,40000,Manual,1,Maruti,Maruti Swift Dzire,2022,770000.0,22.41,5.0,Hyderabad
Petrol,Hatchback,27000,Manual,1,Maruti,Maruti Swift,2018,695000.0,22.0,5.0,Hyderabad
Petrol,Hatchback,57380,Manual,3,Tata,Tata Tiago,2018,496000.0,23.84,5.0,Hyderabad
Diesel,Sedan,81334,Automatic,1,Hyundai,Hyundai Elantra,2018,1261000.0,18.23,5.0,Hyderabad
Cng,Sedan,70000,Manual,1,Maruti,Maruti Swift Dzire,2022,875000.0,31.12,5.0,Hyderabad
Diesel,SUV,32483,Manual,1,Tata,Tata Nexon,2021,927999.9999999999,23.22,5.0,Hyderabad
Diesel,SUV,71220,Manual,2,Maruti,Maruti Vitara Brezza,2016,803999.9999999999,24.3,5.0,Hyderabad
Petrol,SUV,17459,Manual,1,Kia,Kia Sonet,2021,1100000.0,18.2,5.0,Hyderabad
Petrol,SUV,6517,Manual,1,Maruti,Maruti Brezza,2023,1275000.0,17.38,5.0,Hyderabad
Diesel,SUV,70427,Manual,1,Hyundai,Hyundai Creta,2018,950000.0,22.1,5.0,Hyderabad
Petrol,Hatchback,52306,Automatic,1,Maruti,Maruti Alto K10,2018,400000.0,23.95,5.0,Hyderabad
Diesel,Sedan,111670,Automatic,1,Volkswagen,Volkswagen Vento,2015,550000.0,21.21,5.0,Hyderabad
Petrol,Hatchback,40000,Manual,1,Maruti,Maruti Wagon R,2019,475000.0,21.79,5.0,Hyderabad
Diesel,Hatchback,67000,Manual,1,Hyundai,Hyundai i20 Active,2017,720000.0,21.19,5.0,Hyderabad
Diesel,Sedan,77000,Automatic,1,BMW,BMW 5 Series,2018,4050000.0,20.37,5.0,Hyderabad
Diesel,SUV,71000,Automatic,1,BMW,BMW X5,2016,3875000.0,15.97,5.0,Hyderabad
Petrol,Sedan,88471,Manual,3,Honda,Honda City,2012,417000.0,16.8,5.0,Hyderabad
Diesel,Hatchback,88479,Manual,1,Hyundai,Hyundai Grand i10,2018,532000.0,24.0,5.0,Hyderabad
Petrol,MUV,39000,Manual,1,Maruti,Maruti XL6,2020,1150000.0,19.01,6.0,Hyderabad
Diesel,Sedan,50003,Automatic,1,Volkswagen,Volkswagen Vento,2018,944000.0,22.15,5.0,Hyderabad
Petrol,Hatchback,82163,Manual,1,Hyundai,Hyundai Grand i10,2017,501000.0,18.9,5.0,Hyderabad
Petrol,Hatchback,40000,Manual,1,Maruti,Maruti Baleno,2022,850000.0,22.35,5.0,Hyderabad
Petrol,Hatchback,108560,Manual,1,Maruti,Maruti Swift,2016,472000.0,22.38,5.0,Hyderabad
Diesel,SUV,70000,Manual,1,Mahindra,Mahindra XUV500,2014,860000.0,15.1,7.0,Hyderabad
Petrol,Hatchback,28292,Manual,1,Datsun,Datsun RediGO,2021,469000.00000000006,21.7,5.0,Hyderabad
Petrol,Hatchback,117467,Manual,1,Maruti,Maruti Alto 800,2017,289000.0,24.7,5.0,Hyderabad
Petrol,Hatchback,65000,Manual,1,Maruti,Maruti Baleno,2019,690000.0,21.4,5.0,Hyderabad
Petrol,Hatchback,60541,Manual,1,Hyundai,Hyundai i10,2012,321000.0,20.36,5.0,Hyderabad
Petrol,SUV,60000,Manual,1,Ford,Ford Ecosport,2015,575000.0,18.88,5.0,Hyderabad
Petrol,Sedan,76355,Manual,1,Honda,Honda City,2019,890000.0,17.4,5.0,Hyderabad
Petrol,Hatchback,60000,Automatic,1,Maruti,Maruti S-Presso,2021,525000.0,21.7,5.0,Hyderabad
Diesel,SUV,50000,Manual,1,Nissan,Nissan Terrano,2019,900000.0,19.87,5.0,Hyderabad
Diesel,SUV,96000,Manual,1,MG,MG Hector,2019,1650000.0,17.41,5.0,Hyderabad
Diesel,SUV,63000,Manual,1,Mahindra,Mahindra XUV300,2020,1120000.0,20.0,5.0,Hyderabad
Petrol,Hatchback,40000,Manual,1,Hyundai,Hyundai Grand i10 Nios,2020,599000.0,20.7,5.0,Hyderabad
Petrol,SUV,30000,Manual,1,Hyundai,Hyundai Venue,2021,1019999.9999999999,18.0,5.0,Hyderabad
Petrol,Sedan,101543,Manual,1,Maruti,Maruti Swift Dzire,2014,443000.0,22.41,5.0,Hyderabad
Petrol,Hatchback,66424,Manual,1,Maruti,Maruti Baleno,2016,644000.0,21.4,5.0,Hyderabad
Petrol,SUV,120000,Manual,1,Maruti,Maruti SX4 S Cross,2020,750000.0,18.55,5.0,Hyderabad
Petrol,Hatchback,33433,Manual,1,Tata,Tata Tiago,2018,519000.00000000006,23.84,5.0,Hyderabad
Diesel,Hatchback,72169,Manual,1,Hyundai,Hyundai i20,2016,695000.0,22.54,5.0,Hyderabad
Petrol,Sedan,48175,Automatic,1,Honda,Honda City,2018,981000.0,18.0,5.0,Hyderabad
Petrol,Hatchback,73452,Manual,1,Maruti,Maruti Celerio,2014,425000.0,23.1,5.0,Hyderabad
Petrol,SUV,54807,Automatic,1,MG,MG Hector,2020,1537000.0,13.96,5.0,Hyderabad
Petrol,Hatchback,47118,Manual,1,Maruti,Maruti Alto 800,2017,323000.0,22.05,5.0,Hyderabad
Petrol,SUV,100000,Manual,1,Tata,Tata Nexon,2017,700000.0,17.0,5.0,Hyderabad
Petrol,SUV,41192,Manual,1,Nissan,Nissan Magnite,2021,809000.0,18.75,5.0,Hyderabad
Diesel,SUV,70000,Manual,1,Tata,Tata Harrier,2019,1785000.0000000002,17.0,5.0,Hyderabad
Diesel,SUV,105264,Automatic,1,Ford,Ford Endeavour,2016,2650000.0,10.91,7.0,Hyderabad
Petrol,SUV,70000,Automatic,1,Honda,Honda CR-V,2012,1195000.0,11.1,5.0,Hyderabad
Diesel,SUV,50380,Automatic,1,Land Rover,Land Rover Range Rover Evoque,2017,4800000.0,15.68,5.0,Hyderabad
Diesel,Sedan,80000,Manual,2,Tata,Tata Manza,2010,245000.00000000003,19.0,5.0,Hyderabad
Petrol,Hatchback,51000,Manual,1,Maruti,Maruti Celerio,2016,425000.0,23.1,5.0,Hyderabad
Petrol,Hatchback,31846,Manual,1,Renault,Renault KWID,2017,385000.0,23.01,5.0,Hyderabad
Diesel,Hatchback,63000,Manual,1,Hyundai,Hyundai Grand i10,2015,545000.0,24.0,5.0,Hyderabad
Diesel,Hatchback,114676,Manual,2,Hyundai,Hyundai i20,2015,588000.0,22.54,5.0,Hyderabad
Diesel,Hatchback,82662,Manual,1,Hyundai,Hyundai i20,2019,747000.0,22.54,5.0,Hyderabad
Petrol,Hatchback,50000,Manual,2,Maruti,Maruti Alto K10,2014,280000.0,23.95,5.0,Hyderabad
Petrol,MUV,66518,Manual,1,Renault,Renault Triber,2019,633000.0,20.0,7.0,Hyderabad
Petrol,Sedan,57927,Manual,1,Honda,Honda City,2017,814000.0,17.8,5.0,Hyderabad
Petrol,Sedan,40000,Manual,1,Maruti,Maruti Ciaz,2019,900000.0,21.56,5.0,Hyderabad
Petrol,Hatchback,16115,Manual,1,Tata,Tata Tiago,2021,605000.0,19.01,5.0,Hyderabad
Petrol,Hatchback,50829,Manual,2,Hyundai,Hyundai i10,2009,270000.0,20.36,5.0,Hyderabad
Petrol,Hatchback,25467,Manual,1,Hyundai,Hyundai Grand i10 Nios,2019,622000.0,20.7,5.0,Hyderabad
Petrol,Hatchback,71071,Manual,1,Maruti,Maruti Alto 800,2020,317000.0,22.05,5.0,Hyderabad
Petrol,Sedan,55000,Manual,1,Hyundai,Hyundai Verna,2016,795000.0,17.01,5.0,Hyderabad
Petrol,Hatchback,55563,Manual,2,Hyundai,Hyundai i20,2017,602000.0,18.6,5.0,Hyderabad
Petrol,Hatchback,54000,Automatic,1,Hyundai,Hyundai Grand i10,2015,575000.0,18.9,5.0,Hyderabad
Petrol,Hatchback,70000,Manual,2,Hyundai,Hyundai i20,2019,675000.0,18.6,5.0,Hyderabad
Diesel,Sedan,54000,Automatic,1,Volvo,Volvo S60,2017,1998999.9999999998,27.03,5.0,Hyderabad
Petrol,SUV,41000,Automatic,1,Ford,Ford Ecosport,2016,750000.0,14.7,5.0,Hyderabad
Petrol,Hatchback,70000,Manual,2,Hyundai,Hyundai i20,2011,350000.0,18.5,5.0,Hyderabad
Petrol,Hatchback,62500,Manual,1,Maruti,Maruti Baleno,2020,749000.0,21.01,5.0,Hyderabad
Petrol,Hatchback,20000,Manual,1,Hyundai,Hyundai Santro,2021,550000.0,20.3,5.0,Hyderabad
Petrol,Hatchback,60350,Manual,1,Hyundai,Hyundai i20,2016,599000.0,18.6,5.0,Hyderabad
Petrol,Hatchback,52266,Manual,1,Hyundai,Hyundai i20,2015,570000.0,18.6,5.0,Hyderabad
Diesel,Sedan,58431,Manual,1,Maruti,Maruti Ciaz,2018,894999.9999999999,28.09,5.0,Hyderabad
Petrol,Sedan,41372,Automatic,1,Honda,Honda City,2017,1011000.0,18.0,5.0,Hyderabad
Petrol,Hatchback,46863,Manual,2,Maruti,Maruti Alto 800,2014,267000.0,22.05,5.0,Hyderabad
Petrol,Sedan,66500,Automatic,1,Nissan,Nissan Sunny,2014,570000.0,17.97,5.0,Hyderabad
Petrol,Hatchback,49374,Manual,2,Hyundai,Hyundai i10,2014,369000.0,19.81,5.0,Hyderabad
Diesel,Sedan,120000,Manual,2,Skoda,Skoda Rapid,2012,360000.0,20.5,5.0,Hyderabad
Petrol,Hatchback,62832,Manual,1,Tata,Tata Tiago,2021,605000.0,19.01,5.0,Hyderabad
Petrol,Hatchback,61155,Manual,2,Hyundai,Hyundai i20,2016,585000.0,18.6,5.0,Hyderabad
Diesel,Hatchback,75000,Automatic,1,BMW,BMW 1 Series,2014,1798999.9999999998,20.58,5.0,Hyderabad
Petrol,Hatchback,12045,Manual,2,Maruti,Maruti Swift,2021,723000.0,22.38,5.0,Hyderabad
Petrol,Sedan,60700,Manual,1,Maruti,Maruti Ciaz,2020,894999.9999999999,20.65,5.0,Hyderabad
Diesel,Sedan,85000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2013,1350000.0,14.84,5.0,Hyderabad
Petrol,Sedan,44276,Automatic,1,Honda,Honda City,2020,1320000.0,16.4,5.0,Hyderabad
Diesel,Sedan,99000,Automatic,1,Audi,Audi A4,2015,1998999.9999999998,17.11,5.0,Hyderabad
Diesel,Sedan,78000,Automatic,1,Audi,Audi A6,2015,2499000.0,17.68,5.0,Hyderabad
Diesel,Sedan,70000,Automatic,2,Jaguar,Jaguar XF,2013,1700000.0,16.36,5.0,Hyderabad
Diesel,Sedan,70000,Automatic,1,Jaguar,Jaguar XF,2013,1800000.0,16.36,5.0,Hyderabad
Diesel,Sedan,70000,Automatic,1,Jaguar,Jaguar XF,2013,1750000.0,16.36,5.0,Hyderabad
Petrol,Hatchback,22264,Manual,1,Maruti,Maruti Alto 800,2021,429000.0,22.05,5.0,Hyderabad
Petrol,Hatchback,103763,Manual,1,Maruti,Maruti Ignis,2018,376000.0,20.89,5.0,Hyderabad
Diesel,SUV,109000,Automatic,1,Volvo,Volvo XC60,2012,1015000.0,14.7,5.0,Hyderabad
Petrol,Hatchback,49043,Manual,2,Hyundai,Hyundai i10,2012,312000.0,20.36,5.0,Hyderabad
Petrol,Hatchback,70666,Automatic,2,Maruti,Maruti Celerio,2017,492000.0,23.1,5.0,Hyderabad
Diesel,SUV,128000,Automatic,1,Land Rover,Land Rover Range Rover Sport,2011,3700000.0,14.7,5.0,Hyderabad
Diesel,Sedan,65815,Automatic,1,Maruti,Maruti Swift Dzire,2018,800000.0,28.4,5.0,Hyderabad
Petrol,Hatchback,79000,Manual,1,Maruti,Maruti Alto,2010,165000.0,19.7,5.0,Hyderabad
Petrol,Hatchback,48580,Automatic,1,Maruti,Maruti Baleno,2020,831000.0,21.4,5.0,Hyderabad
Petrol,Hatchback,44646,Manual,1,Hyundai,Hyundai i20,2018,691000.0,18.6,5.0,Hyderabad
Petrol,Hatchback,71963,Manual,1,Maruti,Maruti Wagon R,2008,175000.0,21.79,5.0,Hyderabad
Petrol,Hatchback,26678,Manual,2,Hyundai,Hyundai Grand i10,2017,493000.0,18.9,5.0,Hyderabad
Diesel,Sedan,152000,Manual,1,Honda,Honda City,2015,599000.0,26.0,5.0,Hyderabad
Diesel,SUV,101000,Automatic,1,Ford,Ford Endeavour,2016,2395000.0,12.62,7.0,Hyderabad
Diesel,Hatchback,41000,Manual,1,Chevrolet,Chevrolet Beat,2012,320000.0,25.44,5.0,Hyderabad
Diesel,SUV,109000,Manual,1,Toyota,Toyota Fortuner,2018,3150000.0,14.24,7.0,Hyderabad
Diesel,Sedan,83000,Manual,1,Skoda,Skoda Rapid,2017,825000.0,21.13,5.0,Hyderabad
Diesel,Hatchback,80000,Manual,1,Maruti,Maruti Ritz,2012,375000.0,23.2,5.0,Hyderabad
Diesel,Hatchback,94514,Manual,3,Maruti,Maruti Swift,2011,323000.0,22.9,5.0,Hyderabad
Petrol,Sedan,67037,Manual,1,Maruti,Maruti Swift Dzire,2015,487000.0,22.41,5.0,Hyderabad
Diesel,SUV,120000,Manual,1,Mahindra,Mahindra Scorpio,2004,290000.0,10.5,8.0,Hyderabad
Petrol,Hatchback,35540,Manual,2,Toyota,Toyota Glanza,2019,709000.0,22.35,5.0,Hyderabad
Diesel,SUV,47627,Manual,1,Renault,Renault Captur,2019,983000.0,20.37,5.0,Hyderabad
Petrol,Sedan,98000,Automatic,1,Toyota,Toyota Corolla Altis,2009,450000.0,14.53,5.0,Hyderabad
Petrol,Hatchback,55943,Manual,1,Hyundai,Hyundai i20,2018,672000.0,18.6,5.0,Hyderabad
Diesel,SUV,71000,Automatic,1,Hyundai,Hyundai Creta,2018,1350000.0,17.01,5.0,Hyderabad
Petrol,Hatchback,117924,Automatic,1,Maruti,Maruti Celerio,2018,457000.0,23.1,5.0,Hyderabad
Petrol,Hatchback,92195,Manual,1,Maruti,Maruti Wagon R,2013,311000.0,18.9,5.0,Hyderabad
Petrol,Sedan,40000,Automatic,3,Hyundai,Hyundai Sonata,2003,150000.0,11.0,5.0,Hyderabad
Petrol,Hatchback,49009,Automatic,1,Maruti,Maruti Swift,2018,623000.0,22.56,5.0,Hyderabad
Petrol,SUV,31650,Automatic,1,Kia,Kia Sonet,2020,1090000.0,18.3,5.0,Hyderabad
Petrol,MUV,20000,Manual,1,Kia,Kia Carens,2022,1600000.0,16.2,7.0,Hyderabad
Petrol,Hatchback,70000,Manual,1,Hyundai,Hyundai i10,2009,200000.0,20.36,5.0,Hyderabad
Diesel,Sedan,39000,Automatic,1,Hyundai,Hyundai Verna,2018,925000.0,18.0,5.0,Hyderabad
Petrol,SUV,10000,Automatic,1,Mahindra,Mahindra XUV300,2022,1150000.0,16.5,5.0,Hyderabad
Diesel,SUV,93615,Automatic,1,Hyundai,Hyundai Creta,2018,1150000.0,17.01,5.0,Hyderabad
Petrol,MUV,6400,Manual,1,Toyota,Toyota Innova Crysta,2022,2550000.0,8.0,7.0,Hyderabad
Petrol,Sedan,16727,Manual,2,Maruti,Maruti Ciaz,2022,894999.9999999999,20.65,5.0,Hyderabad
Petrol,SUV,63334,Manual,3,Hyundai,Hyundai Creta,2019,1009000.0,15.8,5.0,Hyderabad
Petrol,SUV,14000,Manual,1,Nissan,Nissan Magnite,2021,1050000.0,20.0,5.0,Hyderabad
Petrol,Hatchback,96540,Manual,1,Maruti,Maruti Ignis,2018,441000.0,20.89,5.0,Hyderabad
Petrol,Sedan,92585,Automatic,1,Toyota,Toyota Yaris,2018,759000.0,17.8,5.0,Hyderabad
Petrol,SUV,53861,Manual,1,Ford,Ford Ecosport,2014,425000.0,15.8,5.0,Hyderabad
Petrol,Hatchback,65761,Manual,2,Maruti,Maruti Wagon R,2012,306000.0,18.9,5.0,Hyderabad
Diesel,Sedan,67000,Manual,2,Volkswagen,Volkswagen Vento,2015,600000.0,22.27,5.0,Hyderabad
Diesel,SUV,122100,Manual,2,Jeep,Jeep Compass,2018,1385000.0,17.1,5.0,Hyderabad
